Ticker,Date,Open,High,Low,Close,Volume
NVB,9/13/2010,8.8,9.68,8.8,9.68,69700
NVB,9/14/2010,9.2,9.44,8.88,8.88,95000
NVB,9/15/2010,8.48,8.48,8.4,8.4,153200
NVB,9/16/2010,8,8.48,8,8.4,153400
NVB,9/17/2010,8.4,8.64,8.4,8.48,34000
NVB,9/20/2010,8.8,8.8,8.48,8.48,57900
NVB,9/21/2010,8.48,8.56,8.32,8.4,28300
NVB,9/22/2010,8.4,8.4,8,8,25800
NVB,9/23/2010,8.24,8.24,7.76,8,55900
NVB,9/24/2010,8.24,8.32,8.24,8.24,27400
NVB,9/27/2010,8.4,8.4,8.16,8.32,14700
NVB,9/28/2010,8.64,8.64,8.24,8.24,13800
NVB,9/29/2010,8.4,8.4,8.16,8.24,22400
NVB,9/30/2010,8,8.16,7.92,8,23500
NVB,10/1/2010,8,8,7.84,8,8600
NVB,10/4/2010,7.92,7.92,7.76,7.84,4500
NVB,10/5/2010,7.84,7.84,7.44,7.6,38400
NVB,10/6/2010,7.6,7.76,7.52,7.76,13300
NVB,10/7/2010,7.68,7.68,7.44,7.44,52100
NVB,10/8/2010,7.52,7.52,7.44,7.52,32900
NVB,10/11/2010,7.52,7.68,7.52,7.68,12400
NVB,10/12/2010,7.6,7.68,7.52,7.6,18000
NVB,10/13/2010,7.6,7.6,7.52,7.52,5000
NVB,10/14/2010,7.6,7.6,7.6,7.6,15200
NVB,10/15/2010,7.6,7.6,7.36,7.52,15200
NVB,10/18/2010,7.6,7.76,7.52,7.52,29900
NVB,10/19/2010,7.6,7.6,7.44,7.52,16600
NVB,10/20/2010,7.52,7.52,7.28,7.44,16000
NVB,10/21/2010,7.44,7.44,7.36,7.36,5700
NVB,10/22/2010,7.44,7.44,7.36,7.36,20600
NVB,10/25/2010,7.36,7.6,7.2,7.2,15100
NVB,10/26/2010,7.36,7.36,7.2,7.2,27900
NVB,10/27/2010,7.36,7.36,7.12,7.2,12800
NVB,10/28/2010,7.2,7.2,6.8,6.88,15800
NVB,10/29/2010,6.96,6.96,6.72,6.88,37700
NVB,11/1/2010,6.8,6.8,6.64,6.72,35900
NVB,11/2/2010,6.72,6.72,6.4,6.72,133700
NVB,11/3/2010,6.56,6.72,6.48,6.64,37900
NVB,11/4/2010,6.64,6.72,6.64,6.64,33300
NVB,11/5/2010,6.72,6.8,6.64,6.8,88600
NVB,11/8/2010,6.8,6.8,6.56,6.56,19600
NVB,11/9/2010,6.72,6.72,6.48,6.48,42000
NVB,11/10/2010,6.64,6.72,6.48,6.64,17100
NVB,11/11/2010,6.64,6.64,6.4,6.56,24600
NVB,11/12/2010,6.56,6.56,6.4,6.56,17100
NVB,11/15/2010,6.48,6.48,6.32,6.32,46900
