Ticker,Date,Open,High,Low,Close,Volume
BVL,6/11/2021,14.5,14.5,14.5,14.5,2000
BVL,6/14/2021,16.6,16.6,16.6,16.6,2200
BVL,6/15/2021,19,19,19,19,3000
BVL,6/16/2021,21.8,21.8,21.8,21.8,2000
BVL,6/17/2021,25,25,25,25,4300
BVL,6/18/2021,28.7,28.7,28.7,28.7,5600
BVL,6/21/2021,33,33,33,33,20600
BVL,6/22/2021,37.9,37.9,37.8,37.8,60400
BVL,6/23/2021,37.9,43.5,37.9,43.1,28400
BVL,6/24/2021,45,45,36.7,39.5,20400
BVL,6/25/2021,32.5,32.5,32.5,32.5,8200
BVL,6/28/2021,27.7,27.7,27.7,27.7,9400
BVL,6/29/2021,23.6,23.6,23.6,23.6,8900
BVL,6/30/2021,20.1,27.1,20.1,27.1,15800
BVL,7/1/2021,25.1,25.1,25.1,25.1,3300
BVL,7/2/2021,28.8,28.8,28.8,28.8,4800
BVL,7/5/2021,33.1,33.1,25,28.4,12700
BVL,7/6/2021,24,27.9,24,24.1,1600
BVL,7/7/2021,23.4,23.6,23.4,23.5,700
BVL,7/8/2021,25.5,25.5,24.4,25,3400
BVL,7/9/2021,25,25,24.8,24.8,1200
BVL,7/12/2021,25,25,25,25,500
BVL,7/13/2021,24.9,24.9,21.3,21.3,2100
BVL,7/14/2021,20,24.6,20,24,4700
BVL,7/15/2021,23,24,21.2,24,2700
BVL,7/16/2021,22,25.3,22,25,3200
BVL,7/19/2021,21.3,23.7,21.2,23.7,600
BVL,7/20/2021,20.5,22.8,20.5,22.8,2000
BVL,7/21/2021,23,23,22.6,22.6,500
BVL,7/22/2021,22.8,24,22.5,24,2000
BVL,7/23/2021,23,23.9,23,23.9,2100
BVL,7/26/2021,22.9,23,22.9,23,500
BVL,7/27/2021,24.4,24.5,20,23.9,4400
BVL,7/28/2021,23.9,23.9,21.2,23.9,1400
BVL,7/29/2021,22,25,22,25,1700
BVL,7/30/2021,22.9,24.6,22.9,24.6,2800
BVL,8/2/2021,23.4,23.4,23.4,23.4,0
BVL,8/3/2021,23.4,23.4,23.4,23.4,0
BVL,8/4/2021,20.6,24.9,20.6,23.8,3200
BVL,8/5/2021,22.2,24,22.2,22.2,2100
BVL,8/6/2021,20.1,23.9,20.1,23.9,800
BVL,8/9/2021,21.7,21.8,21.7,21.7,600
BVL,8/10/2021,21.5,21.7,21.5,21.7,200
BVL,8/11/2021,23.8,23.9,23.8,23.9,300
BVL,8/12/2021,23.9,23.9,23.9,23.9,0
BVL,8/13/2021,23.2,23.2,21.9,22.2,700
BVL,8/16/2021,20.2,22.8,20.2,22.8,2600
BVL,8/17/2021,22.6,22.6,22.6,22.6,0
BVL,8/18/2021,22.6,22.6,22.6,22.6,0
BVL,8/19/2021,22.5,22.5,22.5,22.5,100
BVL,8/20/2021,20.5,20.6,20.2,20.6,1400
BVL,8/23/2021,18.2,23,18.1,22.8,1300
BVL,8/24/2021,22.8,22.8,22.8,22.8,1700
BVL,8/25/2021,22.8,22.8,22.8,22.8,0
BVL,8/26/2021,20.1,22,19.4,22,1800
BVL,8/27/2021,23.5,23.5,23.2,23.2,500
BVL,8/30/2021,22,23.2,21,23.2,500
BVL,8/31/2021,22.9,22.9,22.9,22.9,100
BVL,9/1/2021,22.9,22.9,22.9,22.9,0
BVL,9/6/2021,22.4,22.4,22.4,22.4,100
BVL,9/7/2021,22.4,22.4,22.4,22.4,200
BVL,9/8/2021,24.5,24.5,23.8,23.8,600
BVL,9/9/2021,23.9,24,23.9,24,600
BVL,9/10/2021,23.9,23.9,23.9,23.9,0
BVL,9/13/2021,23.9,23.9,23.9,23.9,0
BVL,9/14/2021,20.4,23,20.4,22.9,1100
BVL,9/15/2021,24.5,24.5,23.5,23.5,600
BVL,9/16/2021,23.3,23.3,23.3,23.3,100
BVL,9/17/2021,23.3,23.3,23.3,23.3,0
BVL,9/20/2021,21,22,20.1,22,2100
BVL,9/21/2021,20.8,20.8,20.8,20.8,300
BVL,9/22/2021,20.8,20.8,20,20,1400
BVL,9/23/2021,22,22,20,21.1,1600
BVL,9/24/2021,21,22,20.9,22,4300
BVL,9/27/2021,21.2,22.5,21.2,22.5,3800
BVL,9/28/2021,22.6,22.6,20.1,20.1,1500
BVL,9/29/2021,21.5,21.5,20,20.1,1800
BVL,9/30/2021,20.9,20.9,20.9,20.9,0
BVL,10/1/2021,20.9,20.9,20.9,20.9,0
BVL,10/4/2021,20.7,20.8,20.7,20.8,2100
BVL,10/5/2021,20.8,20.8,20.7,20.7,1300
BVL,10/6/2021,20.1,20.5,20,20,4200
BVL,10/7/2021,20,22.5,20,22,8100
BVL,10/8/2021,20.5,20.5,20.5,20.5,800
BVL,10/11/2021,20.5,20.8,20.5,20.8,200
BVL,10/12/2021,20.7,20.7,20.7,20.7,1500
BVL,10/13/2021,20.5,20.7,18.4,20.7,700
BVL,10/14/2021,20.2,21.8,20.2,21.8,1300
BVL,10/15/2021,22.2,22.2,21.5,21.5,1800
BVL,10/18/2021,21.5,21.5,20.5,20.6,2300
BVL,10/19/2021,20.6,21.9,20.1,21.9,3600
BVL,10/20/2021,21.5,21.5,21.5,21.5,100
BVL,10/21/2021,20.8,20.8,19.4,20,2100
BVL,10/22/2021,20,20,19.7,19.7,1400
BVL,10/25/2021,19.7,19.7,19.6,19.7,2100
BVL,10/26/2021,19.6,20,19.6,20,7700
